PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2003,40,56,68,X,38,X,17,179,27833,86,0.643121,1.06212
2003,41,60,93,X,45,X,35,233,30331,95,0.768191,1.21867
2003,42,61,98,X,54,X,23,236,31530,97,0.748493,1.0913
2003,43,48,109,X,47,X,24,228,33628,106,0.678006,0.977793
2003,44,95,204,X,89,X,49,437,38348,116,1.13956,1.44109
2003,45,90,153,X,94,X,41,378,35904,117,1.05281,1.26033
2003,46,140,255,X,100,X,29,524,38109,120,1.375,1.73883
2003,47,129,309,X,120,X,42,600,38603,128,1.55428,1.86671
2003,48,184,217,X,97,X,40,538,30197,128,1.78163,2.1063
2003,49,253,501,X,202,X,68,1024,39709,128,2.57876,2.99521
2003,50,496,932,X,345,X,73,1846,44223,128,4.1743,4.35076
2003,51,448,1061,X,403,X,83,1995,35742,128,5.58167,5.97778
2003,52,547,662,X,352,X,121,1682,28776,126,5.84515,6.48373
2003,53,347,359,X,331,X,135,1172,28679,122,4.08661,4.37345
2004,1,192,266,X,234,X,75,767,32914,126,2.33032,2.6694
2004,2,133,201,X,127,X,43,504,29040,121,1.73554,1.9685
2004,3,104,156,X,97,X,44,401,30192,115,1.32817,1.60045
2004,4,84,149,X,76,X,38,347,29170,116,1.18958,1.58707
2004,5,54,148,X,89,X,33,324,30680,109,1.05606,1.19879
2004,6,92,151,X,98,X,48,389,30179,100,1.28898,1.67517
2004,7,78,148,X,89,X,33,348,27689,97,1.25682,1.73156
2004,8,65,124,X,65,X,23,277,28865,93,0.95964,1.43259
2004,9,52,94,X,46,X,34,226,26957,79,0.838372,1.23195
2004,10,43,114,X,77,X,28,262,25942,80,1.00995,1.29247
2004,11,38,98,X,63,X,34,233,22876,77,1.01853,1.32672
2004,12,54,87,X,35,X,35,211,23251,76,0.907488,1.23401
2004,13,56,96,X,47,X,36,235,21260,70,1.10536,1.51253
2004,14,48,62,X,31,X,23,164,18214,63,0.900406,1.27978
2004,15,34,52,X,34,X,27,147,19255,62,0.763438,1.05582
2004,16,50,66,X,23,X,19,158,19388,61,0.814937,1.18916
2004,17,35,42,X,39,X,31,147,19042,57,0.771978,1.07358
2004,18,29,57,X,27,X,17,130,18701,58,0.69515,0.899916
2004,19,46,47,X,23,X,8,124,17366,55,0.714039,0.925062
2004,20,37,47,X,23,X,25,132,13946,42,0.946508,1.22542
2004,21,34,42,X,3,X,7,86,12029,33,0.714939,1.0375
2004,22,29,41,X,4,X,3,77,11226,31,0.685908,1.04845
2004,23,38,35,X,8,X,4,85,11142,30,0.762879,1.05778
2004,24,29,26,X,9,X,2,66,11790,30,0.559796,0.622322
2004,25,12,31,X,2,X,3,48,10845,28,0.4426,0.652512
2004,26,4,7,X,2,X,3,16,10440,28,0.153257,0.17153
2004,27,13,15,X,3,X,3,34,9538,26,0.356469,0.745718
2004,28,20,23,X,8,X,6,57,9619,24,0.592577,0.879548
2004,29,17,27,X,9,X,0,53,10711,23,0.494818,0.935673
2004,30,23,27,X,4,X,0,54,9826,24,0.549562,1.3989
2004,31,19,16,X,6,X,0,41,10488,24,0.390923,0.654464
2004,32,15,27,X,2,X,2,46,8447,21,0.544572,0.730157
2004,33,17,17,X,3,X,1,38,10468,23,0.363011,0.562232
2004,34,16,15,X,6,X,2,39,11053,22,0.352845,0.529271
2004,35,18,18,X,6,X,0,42,11259,23,0.373035,0.549584
2004,36,21,27,X,6,X,3,57,10680,22,0.533708,1.07976
2004,37,18,38,X,9,X,2,67,11546,24,0.580288,0.857024
2004,38,22,56,X,21,X,1,100,13155,26,0.760167,0.808537
2004,39,18,39,X,5,X,2,64,11632,27,0.550206,0.58637
