PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2006,40,130,185,X,70,X,23,408,33005,117,1.23618,1.35771
2006,41,131,208,X,57,X,14,410,37258,127,1.10043,1.04674
2006,42,148,259,X,88,X,40,535,37691,133,1.41944,1.42117
2006,43,154,224,X,71,X,18,467,39507,133,1.18207,1.20556
2006,44,149,245,X,85,X,39,518,42750,132,1.2117,1.25405
2006,45,154,198,X,94,X,36,482,42513,138,1.13377,1.12746
2006,46,206,270,X,98,X,22,596,42955,135,1.3875,1.37395
2006,47,261,308,X,101,X,22,692,32508,137,2.12871,2.47074
2006,48,326,359,X,122,X,30,837,44657,135,1.87429,2.35719
2006,49,306,365,X,103,X,27,801,42140,132,1.90081,2.21104
2006,50,321,387,X,150,X,41,899,41689,136,2.15644,2.27081
2006,51,362,434,X,161,X,72,1029,36610,134,2.81071,3.12821
2006,52,318,345,X,127,X,24,814,27049,130,3.00935,3.31736
2007,1,356,339,X,211,X,37,943,39320,139,2.39827,2.33574
2007,2,232,270,X,195,X,29,726,42077,135,1.72541,1.59437
2007,3,258,313,X,153,X,30,754,41291,132,1.82606,1.722
2007,4,287,445,X,212,X,29,973,40856,137,2.38154,2.20592
2007,5,257,509,X,163,X,21,950,43352,135,2.19136,2.05803
2007,6,304,540,X,173,X,17,1034,45915,135,2.25199,2.12588
2007,7,304,518,X,132,X,14,968,40124,130,2.41252,2.31375
2007,8,274,464,X,149,X,20,907,40386,125,2.24583,2.07733
2007,9,191,432,X,126,X,17,766,41652,127,1.83905,1.83346
2007,10,205,459,X,136,X,4,804,41537,127,1.93562,1.94888
2007,11,339,457,X,140,X,9,945,40620,123,2.32644,2.23111
2007,12,199,375,X,105,X,7,686,37235,116,1.84235,1.78697
2007,13,180,355,X,112,X,13,660,36657,114,1.80047,1.76917
2007,14,143,257,X,102,X,13,515,30863,106,1.66866,1.65698
2007,15,127,177,X,86,X,6,396,30505,101,1.29815,1.28047
2007,16,81,114,X,74,X,11,280,31460,97,0.890019,0.863374
2007,17,83,124,X,53,X,5,265,31072,91,0.852858,0.758421
2007,18,72,96,X,36,X,3,207,28329,86,0.7307,0.680128
2007,19,56,98,X,32,X,2,188,25210,81,0.745736,0.67406
2007,20,69,72,X,38,X,4,183,22260,75,0.822102,0.716205
2007,21,75,85,X,36,X,1,197,18990,64,1.03739,0.891624
2007,22,69,54,X,17,X,2,142,14861,54,0.955521,0.713642
2007,23,57,40,X,22,X,3,122,16987,54,0.718196,0.61482
2007,24,56,47,X,29,X,4,136,19160,53,0.709812,0.62737
2007,25,55,43,X,26,X,5,129,18533,52,0.696056,0.604671
2007,26,47,28,X,12,X,1,88,19305,51,0.45584,0.416785
2007,27,42,32,X,16,X,0,90,15810,48,0.56926,0.491863
2007,28,28,21,X,14,X,0,63,17467,47,0.36068,0.301679
2007,29,41,22,X,6,X,2,71,18238,48,0.389297,0.356277
2007,30,37,29,X,18,X,1,85,17963,47,0.473195,0.384831
2007,31,31,18,X,11,X,2,62,17211,45,0.360235,0.31119
2007,32,25,23,X,9,X,2,59,18454,46,0.319714,0.297386
2007,33,35,38,X,7,X,1,81,19483,46,0.415747,0.366092
2007,34,39,32,X,13,X,1,85,18314,43,0.464126,0.451485
2007,35,29,19,X,12,X,1,61,17951,42,0.339814,0.324205
2007,36,25,17,X,8,X,3,53,16512,41,0.320979,0.274101
2007,37,24,31,X,10,X,1,66,18208,39,0.362478,0.36258
2007,38,23,28,X,14,X,1,66,18436,40,0.357995,0.340502
2007,39,34,42,X,20,X,6,102,18976,42,0.537521,0.48225
